Nodos:Ba Illi;Bogomoro;Bousso;Dourbali;Koundoul;Kouno;La Loumia;Linia;Lougoun;Mai Aich;Mandelia;Massenya;Mogo
.	.	.	98	80	.	123	81	.	186	.	.	.
.	.	65	.	78	.	82	.	73	70	.	40	75
.	65	.	111	85	54	.	44	.	55	141	.	.
98	.	111	.	.	.	110	149	.	197	128	.	168
80	78	85	.	.	129	39	.	.	56	157	.	.
.	.	54	.	129	.	59	.	172	.	41	.	48
123	82	.	110	39	59	.	79	77	.	53	.	71
81	.	44	149	.	.	79	.	48	83	.	191	102
.	73	.	.	.	172	77	48	.	154	126	.	120
186	70	55	197	56	.	.	83	154	.	151	157	116
.	.	141	128	157	41	53	.	126	151	.	79	100
.	40	.	.	.	.	.	191	.	157	79	.	91
.	75	.	168	.	48	71	102	120	116	100	91	.
